config,msd,rdf,psi6,cn_at_1.5,cn_slope,rdf/msd,psi6/msd,cn_1.5/msd,cn_slope/msd
config_21,0.0001110355588235294,23.858,0.41026735557225374,12.8853,27.429937974945215,214868.10399106384,3694.9186361487878,116046.60828049522,247037.4199542694
config_22,3.76145794117647e-05,35.5878,0.48258794934935995,13.0205,28.332939044159456,946117.1853185528,12829.811123673528,346155.6716470312,753243.5424573104
config_23,0.00010170214705882354,29.7614,0.39317817294386564,14.8492,24.774634310751605,292632.9567338071,3865.97711370297,146006.75039251006,243599.91433044372
config_24,0.0001439785,28.2336,0.5365620324666815,11.9623,23.351979024082667,196095.94488065928,3726.681639735666,83083.9326705029,162190.73697866464
config_25,3.621946764705883e-05,33.9625,0.5077089882374507,12.6867,27.071375984976907,937686.3384892377,14017.571798261337,350272.95606953,747426.1148389688
config_26,0.0006254293235294117,19.2222,0.43802299387421734,9.3936,12.658428610534157,30734.40799277786,700.3557035067906,15019.442879636985,20239.582850225725
config_27,0.0012541006029411765,15.1337,0.39626691430855543,9.38105,15.584693674007626,12067.373195186832,315.9769745578715,7480.301004559853,12426.988422984296
config_28,0.0004320116764705882,19.3755,0.3816006882081902,12.1326,22.663143915998567,44849.48221375008,883.3110515108264,28083.963144514684,52459.5633644673
config_29,0.00032655300000000004,20.2078,0.3750292348839421,12.4132,24.76914749780458,61882.14470545362,1148.448291346097,38012.81874611472,75850.31372489175
config_30,0.00010672854411764706,30.5339,0.5676650193387612,12.4011,26.549010044215795,286089.35175150924,5318.774129562033,116192.90886541324,248752.66746776548
config_31,0.0006334727205882352,15.6901,0.3985503613006098,9.40365,14.642805607950985,24768.390950490117,629.1515772463267,14844.60134489751,23115.132083910183
config_32,6.83878676470588e-05,32.5832,0.4629700044936011,11.8719,25.850544890763842,476447.08222455194,6769.76809516757,173596.58092089355,377998.9898818788
config_33,0.0003834538676470588,23.62,0.3767076943747974,12.7438,25.336761070192853,61598.022585967185,982.4068190688566,33234.24556439664,66075.12195838244
config_34,0.001105868411764706,16.4544,0.37192734454918275,10.4302,19.180676330627158,14879.166295872983,336.32151944341564,9431.68272919185,17344.44724758826
config_35,3.993136911764706e-05,34.2673,0.46217496728591867,14.001,29.655569065086684,858154.898196468,11574.23292760747,350626.59531532245,742663.4678544207
config_36,0.0004937096470588234,18.9073,0.3649006885634267,10.7374,20.214043469512102,38296.39569053687,739.0997740012773,21748.410354073323,40943.18105780033
config_37,0.0001901265,23.6188,0.37858934043892406,14.8908,31.499482881523445,124226.76481184896,1991.2497228893608,78320.48662337971,165676.44637398492
config_38,0.00020635876470588238,26.7104,0.5982344274098106,12.6517,24.635857466299544,129436.7120198147,2899.0017858580327,61309.244693493536,119383.62541282107
config_39,0.00039937445588235295,20.5057,0.4218448147673762,10.8913,17.64801007894419,51344.545696334004,1056.2638860699756,27270.897874370665,44189.13082448846
config_40,4.3873361764705864e-05,37.373,0.6116312048846968,12.2307,25.866121681991014,851838.0743293049,13940.832894568077,278772.802175352,589563.2484401762
config_41,3.502482352941177e-05,32.8384,0.4749046444903821,13.9989,29.452876062204872,937575.0308184782,13559.087430992633,399685.09729234054,840914.331444728
config_42,0.0005566966764705883,18.9024,0.39684168564284594,11.462,22.38385086164313,33954.576700259255,712.8508259808375,20589.309195571543,40208.34290507162
config_43,6.0754352941176476e-05,30.7831,0.3929719965715921,14.136,28.655508514610315,506681.39005290344,6468.211371653898,232674.68610334382,471661.8172586765
config_44,0.00025449563235294115,28.4164,0.3833451732527258,15.0004,30.805135813003147,111657.71191150109,1506.2937218548914,58941.67951455079,121043.8683296607
config_45,6.322892499999998e-05,33.9442,0.6243621008236683,12.0573,25.392950786636995,536846.0716357271,9874.627804025902,190692.78815036005,401603.3925396803
config_46,0.00036938344117647056,20.1357,0.3816249119015303,10.8888,18.40713846670668,54511.647668527454,1033.1402801546035,29478.311115732842,49832.061794867484
config_47,6.873746470588235e-05,26.7096,0.4466574187827041,13.2504,23.95015774596614,388574.12204954756,6498.019976353309,192768.23864098772,348429.46053430095
config_48,3.373427647058822e-05,33.9855,0.5228994513824836,11.7461,26.20576097699933,1007447.129616988,15500.538505350249,348194.8104101485,776828.9027881551
config_49,3.997654999999999e-05,38.5166,0.5279271501218168,11.3643,26.06764550092814,963479.8400562331,13205.920724069909,284274.15572379314,652073.4155630775
